sniper,feature,0,,,,,
demolitions,feature,0,,,,,
cac,feature,0,,,,,
cas,feature,0,,,,,
playercard,profileFeature,0,,,,,
playercard_title,profileFeature,0,,,,,
playercard_icon,profileFeature,0,,,,,
token_1,feature,6,,,,,
token_2,feature,9,,,,,
token_3,feature,12,,,,,
token_4,feature,16,,,,,
token_5,feature,19,,,,,
token_6,feature,24,,,,,
token_7,feature,28,,,,,
token_8,feature,30,,,,,
token_9,feature,34,,,,,
token_10,feature,36,,,,,
token_11,feature,40,,,,,
token_12,feature,42,,,,,
token_13,feature,48,,,,,
token_14,feature,52,,,,,
token_15,feature,58,,,,,
token_16,feature,62,,,,,
token_17,feature,64,,,,,
token_18,feature,66,,,,,
token_19,feature,72,,,,,
token_20,feature,74,,,,,
token_21,feature,78,,,,,
token_22,feature,9999,,,,,
token_23,feature,9999,,,,,
ghillie_forest,feature,0,,,,,
ghillie_arctic,feature,4,ch_ghillie,,,,
ghillie_urban,feature,4,ch_ghillie_2,,,,
ghillie_desert,feature,4,ch_ghillie_3,,,,
cardtitle_default,title,0,,,,,
cardtitle_ssdd,title,1,,,,,
cardtitle_20,title,19,,,,,
cardtitle_30,title,27,,,,,
cardtitle_40,title,43,,,,,
cardtitle_50,title,51,,,,,
cardtitle_60,title,75,,,,,
cardtitle_70,title,79,,,,,
cardtitle_20a,title,24,ch_prestige,,,,
cardtitle_30a,title,34,ch_prestige,,,,
cardtitle_40a,title,44,ch_prestige,,,,
cardtitle_50a,title,54,ch_prestige,,,,
cardtitle_60a,title,64,ch_prestige,,,,
cardtitle_70a,title,74,ch_prestige,,,,
cardtitle_prestige1,title,1,ch_prestige,,,,
cardtitle_prestige2,title,1,ch_prestige_2,,,,
cardtitle_prestige3,title,1,ch_prestige_3,,,,
cardtitle_prestige4,title,1,ch_prestige_4,,,,
cardtitle_prestige5,title,1,ch_prestige_5,,,,
cardtitle_prestige6,title,1,ch_prestige_6,,,,
cardtitle_prestige7,title,1,ch_prestige_7,,,,
cardtitle_prestige8,title,1,ch_prestige_8,,,,
cardtitle_prestige9,title,1,ch_prestige_9,,,,
cardtitle_prestige10,title,1,ch_prestige_10,,,,
cardtitle_prpurchase_title1,title,,ch_prPurchase_title1,,,,ch_prPurchase_title1
cardtitle_prpurchase_title2,title,,ch_prPurchase_title2,,,,ch_prPurchase_title2
cardtitle_prpurchase_title3,title,,ch_prPurchase_title3,,,,ch_prPurchase_title3
cardtitle_elite_01,title,9999,,,,,
cardtitle_elite_02,title,9999,,,,,
cardtitle_elite_04,title,9999,,,,,
cardtitle_elite_05,title,9999,,,,,
cardtitle_elite_06,title,9999,,,,,
cardtitle_elite_07,title,9999,,,,,
cardtitle_elite_08,title,9999,,,,,
cardtitle_sidekick,title,1,ch_sidekick,,,,
cardtitle_nbk,title,1,ch_nbk,,,,
cardtitle_flyswatter,title,1,ch_flyswatter,,,,
cardtitle_earlydetection,title,1,ch_bombplanter,,,,
cardtitle_clusterbomb,title,1,ch_carpetbomb,,,,
cardtitle_rival,title,1,ch_rival,,,,
cardtitle_concussive,title,1,ch_thinkfastconcussion,,,,
cardtitle_denier,title,1,ch_thedenier,,,,
cardtitle_hotshot,title,1,ch_hero,,,,
cardtitle_fastswap,title,0,ch_fastswap,,,,
cardtitle_absenteekiller,title,1,ch_absentee,,,,
cardtitle_bombshell,title,1,ch_bombdown,,,,
cardtitle_enemyofthestate,title,1,ch_enemyofthestate,,,,
cardtitle_bombsaway,title,1,ch_redcarpet,,,,
cardtitle_madbomber,title,1,ch_saboteur,,,,
cardtitle_explosiveordinance,title,1,ch_victor_sd_2,,,,
cardtitle_afterburner,title,1,ch_afterburner,,,,
cardtitle_deathfromabove,title,1,ch_deathfromabove,,,,
cardtitle_invincible,title,1,ch_invincible,,,,
cardtitle_hardtarget,title,1,ch_airborne,,,,
cardtitle_wargasm,title,1,ch_wargasm,,,,
cardtitle_avenger,title,1,ch_avenger,,,,
cardtitle_tagyoureit,title,1,ch_hotpotato,,,,
cardtitle_technokiller,title,1,ch_technokiller,,,,
cardtitle_og,title,1,ch_og,,,,
cardtitle_dronekiller,title,1,ch_dronekiller,,,,
cardtitle_unbelievable,title,1,ch_unbelievable,,,,
cardtitle_blunttrauma,title,1,ch_shieldvet,,,,
cardtitle_owned,title,1,ch_owned,,,,
cardtitle_topgun,title,1,ch_airsuperiority,,,,
cardtitle_livelong,title,1,ch_survivalist,,,,
cardtitle_flatliner,title,1,ch_thebrink,,,,
cardtitle_bob,title,1,ch_teamplayer_2,,,,
cardtitle_stungun,title,1,ch_slowbutsure,,,,
cardtitle_stickman,title,1,ch_stickman,,,,
cardtitle_stuckonyou,title,1,ch_bullseye_2,,,,
cardtitle_itspersonal,title,1,ch_its_personal,,,,
cardtitle_legend,title,1,ch_lastmanstanding,,,,
cardtitle_theripper,title,1,ch_slasher,,,,
cardtitle_transformer,title,1,ch_transformer,,,,
cardtitle_mastatdon,title,1,ch_starplayer,,,,
cardtitle_allyourbase,title,1,ch_extremecruelty,,,,
cardtitle_biggertheyare,title,1,ch_thebiggertheyare,,,,
cardtitle_harderthey,title,1,ch_thehardertheyfall,,,,
cardtitle_moneyshot,title,1,ch_moneyshot,,,,
cardtitle_makeitrain,title,1,ch_overdraft,,,,
cardtitle_timeismoney,title,1,ch_timeismoney,,,,
cardtitle_imrich,title,1,ch_iamrich,,,,
cardtitle_newjack,title,1,ch_atm,,,,
cardtitle_clayback,title,1,ch_breakbank,,,,
cardtitle_madman,title,1,ch_bangforbuck,,,,
